"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"Pediococcus acidilactici","0","0","1","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus acidilactici"
"Pedomicrobium manganicum","0","0","0","1","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium manganicum"
"Phreatobacter oligotrophus","0","0","0","1","Bacteria;Proteobacteria;Alphaproteobacteria;unkn. Alphaproteobacteria(c);unkn. Alphaproteobacteria(c);Phreatobacter;Phreatobacter oligotrophus"
"Porphyromonas endodontalis","0","1","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas endodontalis"
"Porphyromonas sp. canine oral taxon 290","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas sp. canine oral taxon 290"
"Porphyromonas uenonis","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas uenonis"
"Prevotella copri","0","2","3","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri"
"Prevotella sp. BI-42","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. BI-42"
"Prevotellamassilia timonensis","0","0","2","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis"
"Pseudoalteromonas sp. Gp-4-15.2.1","0","0","2","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas sp. Gp-4-15.2.1"
"Pseudobutyrivibrio sp. CG33","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio sp. CG33"
"Pseudobutyrivibrio xylanivorans","0","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio xylanivorans"
"Pseudomonas aeruginosa","0","0","0","6","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa"
"Raoultibacter massiliensis","0","0","0","1","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Raoultibacter;Raoultibacter massiliensis"
"Reyranella massiliensis","0","0","16","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unkn. Rhodospirillales(o);Reyranella;Reyranella massiliensis"
"Rhodobacter sp. 16-62","0","0","17","19","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sp. 16-62"
"Rhodobacter sp. INCT285","0","0","0","27","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sp. INCT285"
"Rhodobacter sp. WS22","0","1","66","358","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sp. WS22"
"Rhodococcus sp. PL009","0","0","0","5","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. PL009"
"Rothia sp. 13","0","0","0","2","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Rothia sp. 13"
"Ruminiclostridium thermocellum","0","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;Ruminiclostridium thermocellum"
"Ruminococcus faecis","0","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus faecis"
"Ruminococcus sp. DJF_VR52","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. DJF_VR52"
"Ruminococcus sp. DJF_VR67","0","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. DJF_VR67"
"Ruminococcus sp. Marseille-P3120","0","0","9","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. Marseille-P3120"
"Ruminococcus sp. NML 00-0124","0","0","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. NML 00-0124"
"Ruminococcus sp. RLB1","0","0","8","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. RLB1"
"Saccharothrix sp. FMA_239","0","0","0","4","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix;Saccharothrix sp. FMA_239"
"Salinicoccus salitudinis","0","1","0","0","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus;Salinicoccus salitudinis"
"Serratia marcescens","0","0","0","6","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia marcescens"
"Shigella boydii","0","0","0","1","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii"
"Shigella dysenteriae","0","36","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae"
"Shuttleworthia sp. MSX8B","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia;Shuttleworthia sp. MSX8B"
"Solobacterium moorei","0","0","1","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;Solobacterium moorei"
"Staphylococcus kloosii","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus kloosii"
"Streptococcus cristatus","0","1","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus cristatus"
"Streptococcus porcorum","0","5","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus porcorum"
"Streptomyces hygroscopicus","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces hygroscopicus"
"Streptomyces sp. PN4224","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces sp. PN4224"
"Succinivibrio dextrinosolvens","0","3","0","2","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens"
"Sutterella parvirubra","0","0","0","1","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella parvirubra"
"Sutterella stercoricanis","0","1","5","0","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella stercoricanis"
"Tannerella sp. oral taxon HOT-286","0","1","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;Tannerella sp. oral taxon HOT-286"
"Terrimicrobium sacchariphilum","0","0","3","0","Bacteria;Verrucomicrobia;Spartobacteria;unkn. Spartobacteria(c);unkn. Spartobacteria(c);Terrimicrobium;Terrimicrobium sacchariphilum"
"Thermodesulfobium sp. enrichment culture clone D3","0","1","0","0","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermodesulfobiaceae;Thermodesulfobium;Thermodesulfobium sp. enrichment culture clone D3"
"unkn. Acetitomaculum(g)","0","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;unkn. Acetitomaculum(g)"
"unkn. Acetoanaerobium(g)","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Acetoanaerobium;unkn. Acetoanaerobium(g)"
"unkn. Acetobacteraceae(f)","0","31","11","4","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;unkn. Acetobacteraceae(f);unkn. Acetobacteraceae(f)"
"unkn. Acetobacterium(g)","0","2","8","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;unkn. Acetobacterium(g)"
"unkn. Achromobacter(g)","0","0","0","4","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;unkn. Achromobacter(g)"
"unkn. Acidimicrobiales(o)","0","0","0","1","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unkn. Acidimicrobiales(o);unkn. Acidimicrobiales(o);unkn. Acidimicrobiales(o)"
"unkn. Acidiphilium(g)","0","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;unkn. Acidiphilium(g)"
"unkn. Acidithiobacillia(c)","0","5","0","0","Bacteria;Proteobacteria;Acidithiobacillia;unkn. Acidithiobacillia(c);unkn. Acidithiobacillia(c);unkn. Acidithiobacillia(c);unkn. Acidithiobacillia(c)"
"unkn. Actinokineospora(g)","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora;unkn. Actinokineospora(g)"
"unkn. Actinomycetaceae(f)","0","0","0","2","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;unkn. Actinomycetaceae(f);unkn. Actinomycetaceae(f)"
"unkn. Actinomycetales(o)","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unkn. Actinomycetales(o);unkn. Actinomycetales(o);unkn. Actinomycetales(o)"
"unkn. Actinoplanes(g)","0","0","0","2","Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;unkn. Actinoplanes(g)"
"unkn. Actinospica(g)","0","0","0","4","Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;unkn. Actinospica(g)"
"unkn. Aerococcus(g)","0","2","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;unkn. Aerococcus(g)"
"unkn. Akkermansia(g)","0","0","0","425","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;unkn. Akkermansia(g)"
"unkn. Akkermansiaceae(f)","0","0","0","8","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;unkn. Akkermansiaceae(f);unkn. Akkermansiaceae(f)"
"unkn. Algimonas(g)","0","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Algimonas;unkn. Algimonas(g)"
"unkn. Alicyclobacillus(g)","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;unkn. Alicyclobacillus(g)"
"unkn. Alkalibacter(g)","0","1","2","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Alkalibacter;unkn. Alkalibacter(g)"
"unkn. Alsobacter(g)","0","0","0","3","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unkn. Rhizobiales(o);Alsobacter;unkn. Alsobacter(g)"
"unkn. Alteromonadaceae(f)","0","0","1","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;unkn. Alteromonadaceae(f);unkn. Alteromonadaceae(f)"
"unkn. Alteromonadales(o)","0","1","4","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;unkn. Alteromonadales(o);unkn. Alteromonadales(o);unkn. Alteromonadales(o)"
"unkn. Anaerorhabdus(g)","0","2","4","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Anaerorhabdus;unkn. Anaerorhabdus(g)"
"unkn. Anaerosolibacter(g)","0","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerosolibacter;unkn. Anaerosolibacter(g)"
"unkn. Anaerovibrio(g)","0","1","0","0","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;unkn. Anaerovibrio(g)"
"unkn. Anderseniella(g)","0","0","0","3","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Anderseniella;unkn. Anderseniella(g)"
"unkn. Arabia(g)","0","0","0","1","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Arabia;unkn. Arabia(g)"
"unkn. Asaccharospora(g)","0","0","3","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Asaccharospora;unkn. Asaccharospora(g)"
"unkn. Beggiatoa(g)","0","0","1","0","Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa;unkn. Beggiatoa(g)"
"unkn. Beijerinckiaceae(f)","0","1","3","1","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;unkn. Beijerinckiaceae(f);unkn. Beijerinckiaceae(f)"
"unkn. Bifidobacteriales(o)","0","4","8","34","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;unkn. Bifidobacteriales(o);unkn. Bifidobacteriales(o);unkn. Bifidobacteriales(o)"
"unkn. Bosea(g)","0","0","26","2","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;unkn. Bosea(g)"
"unkn. Bradyrhizobiaceae(f)","0","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;unkn. Bradyrhizobiaceae(f);unkn. Bradyrhizobiaceae(f)"
"unkn. Brevibacillus(g)","0","0","0","1","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;unkn. Brevibacillus(g)"
"unkn. Brevundimonas(g)","0","0","0","2","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;unkn. Brevundimonas(g)"
"unkn. Breznakia(g)","0","0","1","1","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Breznakia;unkn. Breznakia(g)"
"unkn. Burkholderiaceae(f)","0","0","1","0","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;unkn. Burkholderiaceae(f);unkn. Burkholderiaceae(f)"
"unkn. Candidatus Armantifilum(g)","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unkn. Bacteroidales(o);Candidatus Armantifilum;unkn. Candidatus Armantifilum(g)"
"unkn. Candidatus Berkiella(g)","0","0","2","1","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Candidatus Berkiella;unkn. Candidatus Berkiella(g)"
"unkn. Candidatus Branchiomonas(g)","0","0","0","1","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unkn. Burkholderiales(o);Candidatus Branchiomonas;unkn. Candidatus Branchiomonas(g)"
"unkn. Candidatus Heliomonas(g)","0","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Candidatus Heliomonas;unkn. Candidatus Heliomonas(g)"
"unkn. Candidatus Kleidoceria(g)","0","0","0","1","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Candidatus Kleidoceria;unkn. Candidatus Kleidoceria(g)"
"unkn. Candidatus Megaira(g)","0","1","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira;unkn. Candidatus Megaira(g)"
"unkn. Candidatus Midichloriaceae(f)","0","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Candidatus Midichloriaceae;unkn. Candidatus Midichloriaceae(f);unkn. Candidatus Midichloriaceae(f)"
"unkn. Candidatus Paracaedibacteraceae(f)","0","2","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Candidatus Paracaedibacteraceae;unkn. Candidatus Paracaedibacteraceae(f);unkn. Candidatus Paracaedibacteraceae(f)"
"unkn. Candidatus Stoquefichus(g)","0","1","4","13","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Candidatus Stoquefichus;unkn. Candidatus Stoquefichus(g)"
"unkn. Carboxylicivirga(g)","0","0","1","0","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Carboxylicivirga;unkn. Carboxylicivirga(g)"
"unkn. Carnobacteriaceae(f)","0","1","1","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;unkn. Carnobacteriaceae(f);unkn. Carnobacteriaceae(f)"
"unkn. Catenisphaera(g)","0","2","4","5","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenisphaera;unkn. Catenisphaera(g)"
"unkn. Catenulisporales(o)","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;unkn. Catenulisporales(o);unkn. Catenulisporales(o);unkn. Catenulisporales(o)"
"unkn. Catonella(g)","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella;unkn. Catonella(g)"
"unkn. Caulobacterales(o)","0","1","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;unkn. Caulobacterales(o);unkn. Caulobacterales(o);unkn. Caulobacterales(o)"
"unkn. Cellulosilyticum(g)","0","0","0","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;unkn. Cellulosilyticum(g)"
"unkn. Cetobacterium(g)","0","0","3","6","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;unkn. Cetobacterium(g)"
"unkn. Chitinophagales(o)","0","0","1","0","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;unkn. Chitinophagales(o);unkn. Chitinophagales(o);unkn. Chitinophagales(o)"
"unkn. Chitinophagia(c)","0","4","7","0","Bacteria;Bacteroidetes;Chitinophagia;unkn. Chitinophagia(c);unkn. Chitinophagia(c);unkn. Chitinophagia(c);unkn. Chitinophagia(c)"
"unkn. Chlorobi(p)","0","0","1","0","Bacteria;Chlorobi;unkn. Chlorobi(p);unkn. Chlorobi(p);unkn. Chlorobi(p);unkn. Chlorobi(p);unkn. Chlorobi(p)"
"unkn. Chromatiales(o)","0","0","0","3","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;unkn. Chromatiales(o);unkn. Chromatiales(o);unkn. Chromatiales(o)"
"unkn. Chromobacteriaceae(f)","0","0","1","0","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;unkn. Chromobacteriaceae(f);unkn. Chromobacteriaceae(f)"
"unkn. Chryseolinea(g)","0","0","0","1","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;unkn. Cytophagales(o);Chryseolinea;unkn. Chryseolinea(g)"
"unkn. Citrobacter(g)","0","1","2","6","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;unkn. Citrobacter(g)"
"unkn. Clostridioides(g)","0","0","1","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;unkn. Clostridioides(g)"
"unkn. Comamonas(g)","0","0","3","0","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;unkn. Comamonas(g)"
"unkn. Corynebacteriales(o)","0","0","6","31","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;unkn. Corynebacteriales(o);unkn. Corynebacteriales(o);unkn. Corynebacteriales(o)"
"unkn. Corynebacterium(g)","0","1","0","2","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unkn. Corynebacterium(g)"
"unkn. Coxiella(g)","0","0","3","0","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;unkn. Coxiella(g)"
"unkn. Coxiellaceae(f)","0","0","1","1","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;unkn. Coxiellaceae(f);unkn. Coxiellaceae(f)"
"unkn. Cryptanaerobacter(g)","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Cryptanaerobacter;unkn. Cryptanaerobacter(g)"
"unkn. Cyanobacteria(p)","0","0","1","0","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);unkn. Cyanobacteria(p);unkn. Cyanobacteria(p);unkn. Cyanobacteria(p);unkn. Cyanobacteria(p)"
"unkn. Cytophaga(g)","0","1","0","0","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;unkn. Cytophaga(g)"
"unkn. Cytophagaceae(f)","0","1","1","2","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;unkn. Cytophagaceae(f);unkn. Cytophagaceae(f)"
"unkn. Dakarella(g)","0","0","2","0","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Dakarella;unkn. Dakarella(g)"
"unkn. Defluviitalea(g)","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitalea;unkn. Defluviitalea(g)"
"unkn. Delftia(g)","0","0","0","2","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;unkn. Delftia(g)"
"unkn. Desulfitobacterium(g)","0","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;unkn. Desulfitobacterium(g)"
"unkn. Desulfomicrobium(g)","0","1","0","0","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;unkn. Desulfomicrobium(g)"
"unkn. Desulfurivibrio(g)","0","0","1","0","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;unkn. Desulfurivibrio(g)"
"unkn. Dethiosulfatibacter(g)","0","0","0","1","Bacteria;Firmicutes;Tissierellia;unkn. Tissierellia(c);unkn. Tissierellia(c);Dethiosulfatibacter;unkn. Dethiosulfatibacter(g)"
"unkn. Devosia(g)","0","0","0","1","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;unkn. Devosia(g)"
"unkn. Dickeya(g)","0","0","1","0","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;unkn. Dickeya(g)"
"unkn. Dietzia(g)","0","0","2","0","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;unkn. Dietzia(g)"
"unkn. Drancourtella(g)","0","2","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Drancourtella;unkn. Drancourtella(g)"
"unkn. Dubosiella(g)","0","1","1","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;unkn. Dubosiella(g)"
"unkn. Dysgonomonas(g)","0","2","0","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;unkn. Dysgonomonas(g)"
"unkn. Elusimicrobiaceae(f)","0","0","2","0","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;unkn. Elusimicrobiaceae(f);unkn. Elusimicrobiaceae(f)"
"unkn. Endobacter(g)","0","3","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Endobacter;unkn. Endobacter(g)"
"unkn. Ensifer(g)","0","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;unkn. Ensifer(g)"
"unkn. Enterobacter(g)","0","0","1","1","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;unkn. Enterobacter(g)"
"unkn. Enterococcaceae(f)","0","8","0","2","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;unkn. Enterococcaceae(f);unkn. Enterococcaceae(f)"
"unkn. Entomoplasmatales(o)","0","0","0","1","Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;unkn. Entomoplasmatales(o);unkn. Entomoplasmatales(o);unkn. Entomoplasmatales(o)"
"unkn. Erwiniaceae(f)","0","0","0","2","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;unkn. Erwiniaceae(f);unkn. Erwiniaceae(f)"
"unkn. Fastidiosipila(g)","0","2","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila;unkn. Fastidiosipila(g)"
"unkn. Flammeovirgaceae(f)","0","1","0","0","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;unkn. Flammeovirgaceae(f);unkn. Flammeovirgaceae(f)"
"unkn. Frankiaceae(f)","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;unkn. Frankiaceae(f);unkn. Frankiaceae(f)"
"unkn. Frankiales(o)","0","0","2","1","Bacteria;Actinobacteria;Actinobacteria;Frankiales;unkn. Frankiales(o);unkn. Frankiales(o);unkn. Frankiales(o)"
"unkn. Fusibacter(g)","0","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XII. Incertae Sedis;Fusibacter;unkn. Fusibacter(g)"
"unkn. Fusobacteriaceae(f)","0","0","0","1","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;unkn. Fusobacteriaceae(f);unkn. Fusobacteriaceae(f)"
"unkn. Gabonia(g)","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Gabonia;unkn. Gabonia(g)"
"unkn. Gabonibacter(g)","0","0","0","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Gabonibacter;unkn. Gabonibacter(g)"
"unkn. Gemmatimonadales(o)","0","0","0","1","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;unkn. Gemmatimonadales(o);unkn. Gemmatimonadales(o);unkn. Gemmatimonadales(o)"
"unkn. Gemmobacter(g)","0","0","20","65","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;unkn. Gemmobacter(g)"
"unkn. Geofilum(g)","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Geofilum;unkn. Geofilum(g)"
"unkn. Gorbachella(g)","0","1","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gorbachella;unkn. Gorbachella(g)"
"unkn. Gracilibacter(g)","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter;unkn. Gracilibacter(g)"
"unkn. Halieaceae(f)","0","0","0","1","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;unkn. Halieaceae(f);unkn. Halieaceae(f)"
"unkn. Harryflintia(g)","0","0","56","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia;unkn. Harryflintia(g)"
